"SynchronousMachine:
ID","SynchronousMachine:
InternalId","SynchronousMachine:
Name","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType","ReactiveCapabilityCurve:
Path","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","SynchronousMachine:
ReactiveCapabilityCurveMemberOfSynchronousMachine:
ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType"
_7784048d-37bf-4fcb-94d5-c280a69b058d,872551,UNPQ1,_9b3fea62-7993-4704-b1f0-be86a2238e29,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-PQ1,873784,01VAE-PQ1,_26ffecdd-ccfd-46bb-9cb9-226185cf3020,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_f759e019-2d29-4ef9-be18-cd9c82fa47a9,872553,UN-04,_9b3fea62-7993-4704-b1f0-be86a2238e29,SynchronousMachine,Network/.MVAr Capability Curves/01VAE-U4,873790,01VAE-U4,_b1b2071c-27b1-4a81-b362-6919610c0085,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_ed8d69fc-2fcf-4453-9910-c2c8beef0755,874624,UN-01,_cc2ffa82-a61c-4784-a85b-050ab9536aa9,SynchronousMachine,Network/.MVAr Capability Curves/01VAJ-U1,876687,01VAJ-U1,_98d8f876-46ce-404d-b70c-03fcb47a2c87,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_52f088af-af67-4e10-ab1f-95f2da7d5856,876907,UN-01,_2d43e0db-06aa-4678-b194-6e6618645368,SynchronousMachine,Network/.MVAr Capability Curves/01VDF-U1,877032,01VDF-U1,_b0bf4029-38ba-4a96-85b4-0242ec4f4d31,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_5d76e8c3-bfca-47fe-b39b-0b7226b8962d,878005,UN-08,_5e73206a-46ff-4fb9-b294-7d6295d95855,SynchronousMachine,Network/.MVAr Capability Curves/01VDM-U8,878307,01VDM-U8,_9af38dc4-d122-44ff-a6b4-3a8ae7f07b1e,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_f71d4682-289f-4451-bdd0-a7b21e7ef1a2,880040,UN-01,_331fe480-a4dc-44fb-9cf4-23a2b876b827,SynchronousMachine,Network/.MVAr Capability Curves/01VIC-U1,880663,01VIC-U1,_1f964dec-5dd8-4d55-89ed-8a2d9873122e,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_456cae06-e359-4fc1-88a7-d6154e5eedf4,883181,UN-01,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine,Network/.MVAr Capability Curves/01VIL-U1,883922,01VIL-U1,_8b02ea55-9054-4265-94f9-8fff33ba2a33,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_dcd4e2d1-415b-41a8-b461-6c2b3cccd5c2,883183,UN-02,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine,Network/.MVAr Capability Curves/01VIL-U2,883928,01VIL-U2,_646ad4d1-7db9-440b-9e05-d4ef7326b048,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_dad6da1d-3e54-42ed-9922-2a81205e5095,883185,UN-03,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine,Network/.MVAr Capability Curves/01VIL-U3,883934,01VIL-U3,_cd428640-bed6-49d4-aafe-b4739247054a,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_f32808ce-3783-4c22-bd81-ed0a0e0192fd,883187,UN-04,_50b4cf67-9b2f-40bd-9e5d-98c63df79eeb,SynchronousMachine,Network/.MVAr Capability Curves/01VIL-U4,883940,01VIL-U4,_d078b63b-3316-4b85-9252-9813fc4fa298,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_4650dd98-8962-49f2-8798-ff3afb9e89e4,884993,UNPQ1,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine,Network/.MVAr Capability Curves/01VMD-PQ1,885218,01VMD-PQ1,_dd3fed86-d9d4-49e4-901c-9c19bb540be6,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_38959b2b-24b5-4b77-a39e-566daf388dc9,884995,UN-01,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine,Network/.MVAr Capability Curves/01VMD-U1,885224,01VMD-U1,_dccf28ab-db53-408d-acce-0b41897a4349,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_2e388379-1ab0-40d6-bf3c-e1ae4fbc482a,884997,UN-02,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine,Network/.MVAr Capability Curves/01VMD-U2,885230,01VMD-U2,_16bc0da3-b01e-41b7-afd4-8bf81deaba89,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_efd59844-a75e-430d-a4d4-4d70c72aa631,884999,UN-03,_7c93661b-9955-4951-8f2e-4dc48c50a290,SynchronousMachine,Network/.MVAr Capability Curves/01VMD-U3,885236,01VMD-U3,_a1026873-8c19-403d-9fb2-1b15c99932d5,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_95c10047-c1db-45ee-a7dc-0a96159d7334,892837,UN-01,_79f6b7c4-5631-4a01-8c16-f2339ebcd28c,SynchronousMachine,Network/.MVAr Capability Curves/01BBR-U1,892952,01BBR-U1,_dc4dc35a-68ef-4118-a4cf-8cb20d96c842,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_8e7697ec-2aaf-4333-a43e-fc2b438e7d6f,892839,UN-03,_79f6b7c4-5631-4a01-8c16-f2339ebcd28c,SynchronousMachine,Network/.MVAr Capability Curves/01BBR-U3,892958,01BBR-U3,_5519ce2c-064c-416a-b7f2-5ececbce7859,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_48c6b1b7-fec0-4ecf-91ff-0a2a2a3ad0cf,895394,UN-01,_39b2a70b-0b1b-499b-a6bb-262a225fbb5f,SynchronousMachine,Network/.MVAr Capability Curves/08CPC-U1,895503,08CPC-U1,_e72c2222-f56d-4c25-a270-9c9e11898652,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_fa2f18f3-5644-41f7-8a13-0e365733a25f,895990,UN-PTA,_fd1d5577-ffef-419a-b911-e752c6861ebf,SynchronousMachine,Network/.MVAr Capability Curves/08EGU-U1,896006,08EGU-U1,_a573a15a-ea15-4b52-b262-0bd5895701c3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_8537288a-6aaa-4d15-bdcd-37310eabb2ab,896091,UN-PTA,_9074e087-fabf-40d8-9778-fb4cb7439509,SynchronousMachine,Network/.MVAr Capability Curves/08ERP-U1,896099,08ERP-U1,_003f1bf8-6169-4ceb-af26-4d7b94837bd0,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_ecadacc8-aca9-4bd5-8d0f-ba37da8082fd,904580,UN-01,_3b5d5f59-a9ce-4509-a1ee-cc7e48892ecd,SynchronousMachine,Network/.MVAr Capability Curves/01LER-U1,904614,01LER-U1,_5c39a4bd-805c-4052-bc7e-b729fb9b0ab3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_316f7b9d-2c48-4d9a-aa8c-de8cdfae2702,904582,UN-02,_3b5d5f59-a9ce-4509-a1ee-cc7e48892ecd,SynchronousMachine,Network/.MVAr Capability Curves/01LER-U2,904620,01LER-U2,_f9856d17-6f95-4507-9f65-a25762be3f06,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_2380cdf0-e801-470c-8a48-6a95d13a1620,904584,UN-03,_3b5d5f59-a9ce-4509-a1ee-cc7e48892ecd,SynchronousMachine,Network/.MVAr Capability Curves/01LER-U3,904626,01LER-U3,_f038eed5-2538-4c29-b3c1-c68a63516e88,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_4d4171e2-e3ec-4442-a3ee-29bd91e44341,908182,UN-03,_80fcb42b-c193-4624-a762-9d85362e8c9b,SynchronousMachine,Network/.MVAr Capability Curves/01TIN-U3,908189,01TIN-U3,_29df8333-69ee-4d1d-a5fa-3f32bb83c709,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_258cf877-a183-4a4e-8214-ebf6e0d39f4a,911534,UN-PTA,_d10215bf-dfb4-4b87-a914-804ba0f49825,SynchronousMachine,Network/.MVAr Capability Curves/08ESI-U1,911536,08ESI-U1,_832018d0-bef6-4a2c-80ff-0980cecbe05d,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_cbdc59ef-d862-4906-93bd-a4e184152414,911609,UN-PTA,_84523aaf-5484-400c-b7f8-32a8599f509b,SynchronousMachine,Network/.MVAr Capability Curves/08ETI-U1,911623,08ETI-U1,_54badc35-1130-4b08-9cfe-e2e338e06150,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_33698f9f-f2d6-4bd5-9a3d-a515770d4c3b,912502,UN-01,_3081e3ae-ce66-483e-8ac6-1b35e32e8080,SynchronousMachine,Network/.MVAr Capability Curves/08HRA-U1,912615,08HRA-U1,_3098e685-ddc9-4475-8101-30a35b9ae228,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_5a171b99-730a-415f-978c-a94a7c5b9cad,912504,UN-02,_3081e3ae-ce66-483e-8ac6-1b35e32e8080,SynchronousMachine,Network/.MVAr Capability Curves/08HRA-U2,912621,08HRA-U2,_476ea000-61e3-4ae8-a53f-4a77e6560e7b,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_e67beeda-d1de-42a6-9f37-329d2466dfb3,912506,UN-03,_3081e3ae-ce66-483e-8ac6-1b35e32e8080,SynchronousMachine,Network/.MVAr Capability Curves/08HRA-U3,912627,08HRA-U3,_3fcfb880-2b9a-45fb-8c8a-31c4b996bd07,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_f25d45c0-15fc-4e0e-8534-2361e7bbc743,912892,UN-01,_ee1f17d6-4831-4e77-9457-c56f2a3b61ae,SynchronousMachine,Network/.MVAr Capability Curves/08IKL-U1,912995,08IKL-U1,_04efa953-3d33-4b00-9645-c02907a6fb31,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
_f5a26281-0e32-47c1-86c7-ad9213e94c5d,915371,UN-02,_1c954656-42ef-40f6-9e9f-7dbecb711259,SynchronousMachine,Network/.MVAr Capability Curves/08LRA-U2,915621,08LRA-U2,_b3aa05db-16a4-4524-be67-e2dcc148f432,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve
