"ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
NAFlag","ConformLoad:
InternalId","ConformLoad:
Parent","ConformLoad:
ObjectType","ConformLoadGroup:
Path","ConformLoadGroup:
InternalId","ConformLoadGroup:
Name","ConformLoad:
ConformLoadAssignedToConformLoadGroup:
ConformLoadGroup:
ID","ConformLoadGroup:
Parent","ConformLoadGroup:
ObjectType"
_4e437bd4-d450-4226-85ef-0ada8d3c4ddf,T-01  85\23,true,888792,_f91c23b3-30b2-47b2-bb8c-21d630b20b56,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ZUM  T-01  85_23-LG,889022,01   ZUM  T-01  85_23-LG,_97d0942a-a99d-4a9a-83cf-7e96e0dd53a3,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_0fb50be2-5da2-4c93-a73a-fccaed6b6603,T-02  85\23,true,888797,_f91c23b3-30b2-47b2-bb8c-21d630b20b56,ConformLoad,Network/.Load Areas/SIN/01CEL/01   ZUM  T-02  85_23-LG,889123,01   ZUM  T-02  85_23-LG,_e6f82c28-b991-4dd5-b7fa-b55dac782a07,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_306150dc-5550-4bc5-95e6-26057d052efa,T-01 115\23,true,889462,_505a8340-0f8f-40c3-b9b4-a3eb3a008322,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCAIN  T-01 115_23-LG,889477,01TLCAIN  T-01 115_23-LG,_8c669706-c67f-459c-8123-a4601498304b,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_883976d6-3d40-4550-9e3c-158e616a66e8,T-01  85\23,true,889700,_b5c8bbaa-56c9-4d1f-a98f-ad73968d7518,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCAMO  T-01  85_23-LG,889733,01TLCAMO  T-01  85_23-LG,_c31a9b63-7c0d-49cd-9bc1-aeaad7cec733,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_594bed35-8424-4db4-a747-601ed16f9547,T-02  85\23,true,889705,_b5c8bbaa-56c9-4d1f-a98f-ad73968d7518,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCAMO  T-02  85_23-LG,889834,01TLCAMO  T-02  85_23-LG,_b90c193c-df7c-41ce-82f5-b8f940585582,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_8a9eff1f-0cfc-4436-baa1-62f475bcc3a0,T-03  85\23,true,889710,_b5c8bbaa-56c9-4d1f-a98f-ad73968d7518,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCAMO  T-03  85_23-LG,889935,01TLCAMO  T-03  85_23-LG,_2c26b761-aceb-4c75-a5d8-8e653065ab76,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_1ba08146-4f88-4393-a5ea-aed34421f334,T-01 115\13.8,true,890401,_e0393fc2-49e0-4697-938e-d9361fb1d800,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCANM  T-01 115_13.8-LG,890421,01TLCANM  T-01 115_13.8-LG,_865ee42e-bed3-4485-ba0f-c6a0461e2870,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_c02fc369-e9c1-4b3b-a534-fe0e0ee4eea4,T-02 115\13.8,true,890406,_e0393fc2-49e0-4697-938e-d9361fb1d800,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCANM  T-02 115_13.8-LG,890522,01TLCANM  T-02 115_13.8-LG,_7862f0f7-9e93-475c-8ac2-cbe6367f5cdd,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_dbccc098-19b3-437b-9322-4291fe4ad9d4,T-01 115\13.8,true,890766,_24fd299c-730a-4881-aadb-379643f207ab,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCANU  T-01 115_13.8-LG,890788,01TLCANU  T-01 115_13.8-LG,_2de8a1b8-26f5-45e7-92ac-56995b3cc73a,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
_9f925671-e34f-48cb-b92c-ebb2b582df25,63540 TPL,true,890773,_28a60c9a-9c33-4fe4-aa35-d22ca38c124a,ConformLoad,Network/.Load Areas/SIN/01CEL/01TLCANU 63540 TPL-LG,890889,01TLCANU 63540 TPL-LG,_6835169a-040e-48a1-9097-9ccdc3d20b8d,_45b864f2-1191-461d-ab8b-4d8ad42dd154,ConformLoadGroup
