ID,Path,Name,Description,ElementName,ElementText,IncludeInSE,MeasurementType,mRID,InternalId,Parent,ObjectType
_64132b0d-1888-425a-85a5-d7cbbc91e957,Network/Companies/SIN/03OCC/03   CTI/18/UN-02/Q,Q,03   CTI UN-02    BRUTA      MVAR,Q (1642),UN-02    BRUTA      MVAR,true,Reactive power,,2942971,_f025c8d1-42f3-42be-8c7e-9f69265c347a,Analog
_1ce3a7ad-3440-42a5-8c71-83f4a8ebfcbf,Network/Companies/SIN/03OCC/03   CTI/18/UN-03/P,P,03   CTI UN-03    BRUTA        MW,P (1631),UN-03    BRUTA        MW,true,Real power,,2942991,_38a1c3bf-c3e0-4454-a5c3-e56537030bb5,Analog
_910876b1-7f62-4438-84a1-2636ce87709c,Network/Companies/SIN/03OCC/03   CTI/18/UN-03/Q,Q,03   CTI UN-03    BRUTA      MVAR,Q (1642),UN-03    BRUTA      MVAR,true,Reactive power,,2942995,_38a1c3bf-c3e0-4454-a5c3-e56537030bb5,Analog
_29006ae7-61a1-4e71-844f-a0e94501c2db,Network/Companies/SIN/03OCC/03   CTI/18/UN-02 SP/P,P,03   CTI UN-02 SP              MW,P (1631),UN-02 SP              MW,true,Real power,,2943129,_9fec5345-45db-4481-8b98-e859fde9bc21,Analog
_e7c6ae78-9c69-48e3-9ae9-f3e5e5c0dd27,Network/Companies/SIN/03OCC/03   CTI/18/UN-02 SP/Q,Q,03   CTI UN-02 SP            MVAR,Q (1642),UN-02 SP            MVAR,true,Reactive power,,2943133,_9fec5345-45db-4481-8b98-e859fde9bc21,Analog
_74c6443a-7ff8-4568-87f5-cffc5b875c79,Network/Companies/SIN/03OCC/03   CTI/18/UN-03 SP/P,P,03   CTI UN-03 SP              MW,P (1631),UN-03 SP              MW,true,Real power,,2943137,_e53df75a-31ba-40dd-b5e5-986acfe736ec,Analog
_9173f2d5-679c-4cb7-b7aa-3fd16a9192e7,Network/Companies/SIN/03OCC/03   CTI/18/UN-03 SP/Q,Q,03   CTI UN-03 SP            MVAR,Q (1642),UN-03 SP            MVAR,true,Reactive power,,2943141,_e53df75a-31ba-40dd-b5e5-986acfe736ec,Analog
_f8fb7ab1-3fa6-4be5-8992-68ab5bfb9738,Network/Companies/SIN/03OCC/03   DMN/34.5/UN-01/P,P,03   DMN LT-5115  CC 01        MW,P (1631),LT-5115  CC 01        MW,true,Real power,,2943700,_55a0277d-0b03-4144-b8a8-3d90510bb598,Analog
_93984d24-b63c-431d-9db6-586d5d50d085,Network/Companies/SIN/03OCC/03   DMN/34.5/UN-01/Q,Q,03   DMN LT-5115  CC 01      MVAR,Q (1642),LT-5115  CC 01      MVAR,true,Reactive power,,2943705,_55a0277d-0b03-4144-b8a8-3d90510bb598,Analog
_17f9765c-4f66-4a9b-8653-ef444ab4ee04,Network/Companies/SIN/03OCC/03   DMN/34.5/UN-02/P,P,03   DMN LT-5125  CC 02        MW,P (1631),LT-5125  CC 02        MW,true,Real power,,2943714,_6181b2e3-ef91-44fe-ace5-15cfc32cb9a2,Analog
_6c1ebec5-691c-4c94-84c6-278b1ea24a75,Network/Companies/SIN/03OCC/03   DMN/34.5/UN-02/Q,Q,03   DMN LT-5125  CC 02      MVAR,Q (1642),LT-5125  CC 02      MVAR,true,Reactive power,,2943719,_6181b2e3-ef91-44fe-ace5-15cfc32cb9a2,Analog
_6d0ef8e5-5046-424a-b8f8-48a66212f01d,Network/Companies/SIN/03OCC/03   DMN/34.5/UN-03/P,P,03   DMN LT-5135  CC 03        MW,P (1631),LT-5135  CC 03        MW,true,Real power,,2943728,_e75383c2-8200-40c8-86a3-373ab9bcc602,Analog
_1634a5a1-fa5f-4b2e-90a6-73ab7b55f161,Network/Companies/SIN/03OCC/03   DMN/34.5/UN-03/Q,Q,03   DMN LT-5135  CC 03      MVAR,Q (1642),LT-5135  CC 03      MVAR,true,Reactive power,,2943733,_e75383c2-8200-40c8-86a3-373ab9bcc602,Analog
