"NonConformLoad:
ID","NonConformLoad:
Name","NonConformLoad:
Path","NonConformLoad:
LogbookText","NonConformLoad:
NAFlag","NonConformLoad:
ODBName","NonConformLoad:
SCADAFlag","NonConformLoad:
ShortID","NonConformLoad:
InternalId","NonConformLoad:
Parent","NonConformLoad:
ObjectType","NonConformLoadGroup:
Path","NonConformLoadGroup:
InternalId","NonConformLoadGroup:
Name","NonConformLoad:
NonConformLoadAssignedToNonConformLoadGroup:
NonConformLoadGroup:
ID","NonConformLoadGroup:
Parent","NonConformLoadGroup:
ObjectType"
_258c8eed-6785-4c74-8e16-e2fd4a5e20c7,CRG AUM,Network/Companies/SIN/01CEL/01   AUM/85/CRG AUM,CRG AUM,true,AUMN0171,true,1,764040,_2a2e8ae2-0a8b-4f12-8d9b-e155b977a2ea,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   AUM CRG AUM-LG,764045,01   AUM CRG AUM-LG,_667aff3c-361a-40a7-b018-428f1a941873,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_23768e38-d44e-413c-afc7-b52fdd72abfa,T-01 230\13.8,Network/Companies/SIN/01CEL/01   BBV/13.8/T-01 230\13.8,T-01 230\13.8,true,BBVN0141,true,1,766638,_8bf7c240-ccc5-4e16-b165-64aa7d928759,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   BBV  T-01 230_13.8-LG,766658,01   BBV  T-01 230_13.8-LG,_5abb28d8-c3fa-497c-89e4-4a9a23a48b8c,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_ead880d5-b2f3-4d14-8942-1849f238f45e,T-02 230\13.8,Network/Companies/SIN/01CEL/01   BBV/13.8/T-02 230\13.8,T-02 230\13.8,true,BBVN0241,true,2,766643,_8bf7c240-ccc5-4e16-b165-64aa7d928759,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   BBV  T-02 230_13.8-LG,766759,01   BBV  T-02 230_13.8-LG,_3b8f931e-25a6-4556-a47d-405f3f4ab924,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_3eb64fde-4d02-403e-92cc-2402438f96ce,CRG BDK,Network/Companies/SIN/01CEL/01   BDK/85/CRG BDK,CRG BDK,true,BDKN0171,true,1,766908,_0917256a-76a0-4b9c-8708-ab18a961b79a,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   BDK CRG BDK-LG,766913,01   BDK CRG BDK-LG,_bc8d7898-a23a-4f7e-ba5c-fd46e17ace6a,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_9f617d84-7354-4c4f-8c3a-33c012bc19ff,CCAH       85CA,Network/Companies/SIN/01CEL/01   CAH/85/CCAH       85CA,CCAH       85CA,true,CAHN0171,true,1,770519,_8d1c63fa-de6c-4b49-a76b-aa3f468c770e,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   CAH CCAH       85CA-LG,770524,01   CAH CCAH       85CA-LG,_5df6104b-50e9-42c8-810d-7cb3660c9542,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_224afc6c-db8f-4e00-9417-f0b020ece112,CLIENTE   230CA,Network/Companies/SIN/01CEL/01   CCZ/230/CLIENTE   230CA,CLIENTE   230CA,true,CCZN0191,true,1,771290,_5e73e518-ee2f-4cd8-84b3-69836ded9511,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   CCZ CLIENTE   230CA-LG,771295,01   CCZ CLIENTE   230CA-LG,_f413b7f5-a96a-46e4-9cf9-105c286fcfad,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_f847dcce-9e7d-4a69-9889-8ac6f8f592c4,CRG CEA,Network/Companies/SIN/01CEL/01   CEA/85/CRG CEA,CRG CEA,true,CEAN0171,true,1,772147,_259bb94d-5da1-4f3f-8981-b7db3a332279,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   CEA CRG CEA-LG,772152,01   CEA CRG CEA-LG,_c4163bb1-d77e-4403-bf02-34c1b782fdb2,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_78aee8b2-e267-4701-84d4-f7c049c5f5b3,T-01  85\4.16,Network/Companies/SIN/01CEL/01   CFZ/4.16/T-01  85\4.16,T-01  85\4.16,true,CFZN0121,true,1,772944,_c154e2e4-2d7b-4cf1-9448-88e86142c7f8,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   CFZ  T-01  85_4.16-LG,772980,01   CFZ  T-01  85_4.16-LG,_834ac3af-cd21-4758-8939-c311bac261dc,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_dfeefeb5-e661-4d4b-89f8-cb646b0ffc20,T-02  85\4.16,Network/Companies/SIN/01CEL/01   CFZ/4.16/T-02  85\4.16,T-02  85\4.16,true,CFZN0221,true,2,772949,_c154e2e4-2d7b-4cf1-9448-88e86142c7f8,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   CFZ  T-02  85_4.16-LG,773081,01   CFZ  T-02  85_4.16-LG,_f5668f83-6333-45d6-bd73-06dfad55695a,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
_6dc1fa17-70bc-456f-9015-3f0cede41122,CARGA CLIENTE,Network/Companies/SIN/01CEL/01   CHE/85/CARGA CLIENTE,CARGA CLIENTE,true,CHEN0171,true,1,773975,_5b62715b-e635-4ba4-a1ac-b78f288e9c4d,NonConformLoad,Network/.Load Areas/SIN/01CEL/01   CHE CARGA CLIENTE-LG,773980,01   CHE CARGA CLIENTE-LG,_98fb96b5-bace-48b3-b737-f3530378bcda,_45b864f2-1191-461d-ab8b-4d8ad42dd154,NonConformLoadGroup
