"ConformLoad:
InternalId","ConformLoad:
ObjectId","ConformLoad:
ID","ConformLoad:
Name","ConformLoad:
IsAuxiliary","ConformLoad:
ODBName","ConformLoad:
Parent","ConformLoad:
ObjectType"
774870,{e74d708d-eaf1-4815-b519-e8fc7e4aa485},_e74d708d-eaf1-4815-b519-e8fc7e4aa485,T-02 230\23,false,CMCC0251,_562fcc52-b773-45d8-b634-4b7503398deb,ConformLoad
774875,{6fc243fe-8835-41c7-973a-27bffe5a6ec2},_6fc243fe-8835-41c7-973a-27bffe5a6ec2,T-03 230\23,false,CMCC0351,_562fcc52-b773-45d8-b634-4b7503398deb,ConformLoad
775474,{ecd46fac-3c4c-4cc5-aa36-74bb61077671},_ecd46fac-3c4c-4cc5-aa36-74bb61077671,AUX G1     23CA,true,COAA0151,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775479,{6c32ff35-1090-4f19-8097-197e84c6aa14},_6c32ff35-1090-4f19-8097-197e84c6aa14,T -0 230\23  a,false,COAC0251,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775484,{ac4fb50b-90a0-4d52-89df-47a68d40c99e},_ac4fb50b-90a0-4d52-89df-47a68d40c99e,T -0 230\23  b,false,COAC0351,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775489,{39af7a64-3372-4d2b-bb6a-959e7b6bc523},_39af7a64-3372-4d2b-bb6a-959e7b6bc523,T -0 230\23  c,false,COAC0451,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775494,{4af44604-7a85-4d1d-b108-2868f6501a33},_4af44604-7a85-4d1d-b108-2868f6501a33,T -0 230\23  d,false,COAC0551,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775499,{8a6749d6-4b45-481f-b0c5-350ba2e0df87},_8a6749d6-4b45-481f-b0c5-350ba2e0df87,T -0 230\23  e,false,COAC0651,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775504,{4672b3ab-322f-410e-bc3f-989bb16477fe},_4672b3ab-322f-410e-bc3f-989bb16477fe,T -0 230\23  f,false,COAC0751,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775509,{bfc8591f-4f9f-4b27-a4d6-2d27dddc0f9f},_bfc8591f-4f9f-4b27-a4d6-2d27dddc0f9f,T -0 230\23  g,false,COAC0851,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775514,{291e13f7-68b4-4298-a269-bb104d5b8350},_291e13f7-68b4-4298-a269-bb104d5b8350,T -0 230\23  h,false,COAC0951,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775519,{650214d9-70eb-4a0d-8e07-3c104cc0c3a5},_650214d9-70eb-4a0d-8e07-3c104cc0c3a5,T -0 230\23  i,false,COAC1051,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775524,{933aea1f-ba38-425b-b4b6-a2825251db6a},_933aea1f-ba38-425b-b4b6-a2825251db6a,T -0 230\23  j,false,COAC1151,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775529,{1c096714-c83d-4e71-88b2-90f8d2e2364a},_1c096714-c83d-4e71-88b2-90f8d2e2364a,T -0 230\23  k,false,COAC1251,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775534,{c4cb21e3-fd9b-49c3-b6f7-de63da9d22e2},_c4cb21e3-fd9b-49c3-b6f7-de63da9d22e2,T -0 230\23  l,false,COAC1351,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
775539,{02b19146-a599-4e8e-94e5-e5d9648a0be4},_02b19146-a599-4e8e-94e5-e5d9648a0be4,T -0 230\23  p,false,COAC1451,_48232a09-8035-4b79-8b61-495c3fa0d205,ConformLoad
