"PowerTransformer:
ID","PowerTransformer:
transformerType","PowerTransformer:
InternalId","PowerTransformer:
Name","PowerTransformer:
Parent","PowerTransformer:
ObjectType"
_bea4d607-87d7-4239-b697-0fb84b1c2838,voltageControl,799397,01EVD T01 230\23,_c9dac1fa-a95d-465d-b272-2b5fc875010c,PowerTransformer
_12076fdd-c03d-438c-93a2-bb11884e0351,voltageControl,799403,01EVD T02 230\23,_c9dac1fa-a95d-465d-b272-2b5fc875010c,PowerTransformer
_6ce0e6bf-168e-4ca2-8e6c-39d22fa0f1ba,fix,799898,01GEV T01 230\13.8,_38f025a9-ab30-49cd-8047-2652ed35f1cd,PowerTransformer
_aeba0056-51bf-4e12-8907-0becf7acb2dc,fix,799903,01GEV T02 230\13.8,_38f025a9-ab30-49cd-8047-2652ed35f1cd,PowerTransformer
_96c9d56c-3a3f-40eb-b62c-c406f0723862,fix,799908,01GEV T03 230\13.8,_38f025a9-ab30-49cd-8047-2652ed35f1cd,PowerTransformer
_40ae5f2f-a466-4137-a318-284d7f9521fc,voltageControl,800376,01GUA T01 85\23,_b05e6832-752c-4922-a670-2e476f8f0e8a,PowerTransformer
_f2199782-87fd-4124-85c2-b9cb6bf5ee28,voltageControl,800382,01GUA T02 85\23,_b05e6832-752c-4922-a670-2e476f8f0e8a,PowerTransformer
_3a7b2945-ee39-4038-bc40-59e8e1f54099,voltageControl,800388,01GUA T03 85\23,_b05e6832-752c-4922-a670-2e476f8f0e8a,PowerTransformer
_fae781d4-c72c-41a3-9727-69331cbf3e03,voltageControl,800975,01HTC T01 85\23,_a1fe692c-4123-4fd3-b28a-571ec07d0c88,PowerTransformer
_bea5f691-3942-440c-b2d1-fc0f04e935c7,voltageControl,800981,01HTC T02 85\23,_a1fe692c-4123-4fd3-b28a-571ec07d0c88,PowerTransformer
