"ThermalGeneratingUnit:
ID","ThermalGeneratingUnit:
PhysicalUnitType","ThermalGeneratingUnit:
InternalId","ThermalGeneratingUnit:
Name","ThermalGeneratingUnit:
Parent","ThermalGeneratingUnit:
ObjectType"
_42c6cf4b-1310-4cc4-9f7b-ee87647f67a8,Gas Turbine (can only burn gas),2433037,05IEL-U2 Unit,_7256001b-82a4-4b6b-bd36-e35e4cecfb28,ThermalGeneratingUnit
_c23ba25c-1959-437e-b6dd-7e8f3ea88c39,Fossil Fired Steam,2433048,05IEL-U3 Unit,_7256001b-82a4-4b6b-bd36-e35e4cecfb28,ThermalGeneratingUnit
_1c00aded-2828-4e17-817d-d93927c6fa35,Combined Cycle Logical Unit (NA Flag should be false),2433145,05KST-PTA Unit,_6bd1a25d-b344-45ab-be9c-41dcb63624a1,ThermalGeneratingUnit
_15b92887-0890-4131-bf21-88d2fd150c7e,Gas Turbine (can only burn gas),2433156,05KST-U1 Unit,_6bd1a25d-b344-45ab-be9c-41dcb63624a1,ThermalGeneratingUnit
_4b505583-16fe-4541-a2d4-545e352bcb06,Gas Turbine (can only burn gas),2433167,05KST-U2 Unit,_6bd1a25d-b344-45ab-be9c-41dcb63624a1,ThermalGeneratingUnit
_b59e6563-21ac-460a-8e62-32a17226e1d1,Fossil Fired Steam,2433178,05KST-U3 Unit,_6bd1a25d-b344-45ab-be9c-41dcb63624a1,ThermalGeneratingUnit
_c966fe70-07b5-4f33-badb-ae8ef438519d,Combined Cycle Logical Unit (NA Flag should be false),2433872,05NOJ-PTA Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_3eab10a3-2669-4d6d-9f96-50c6d6184661,Gas Turbine (can only burn gas),2433883,05NOJ-U1 Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_a2cb3ef2-2773-49f1-9530-3b6d0b4a876c,Gas Turbine (can only burn gas),2433894,05NOJ-U2 Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_418f210e-d77f-4289-8e26-9e500f423dbd,Fossil Fired Steam,2433905,05NOJ-U3 Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_60528b73-178b-4bdd-8666-ff5ae90e8022,Gas Turbine (can only burn gas),2433916,05NOJ-U4 Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_d88bf70d-02da-49b8-a6e8-c326865052f6,Gas Turbine (can only burn gas),2433927,05NOJ-U5 Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_8a14cb44-620f-4351-ba10-073f3694c77e,Fossil Fired Steam,2433938,05NOJ-U6 Unit,_00e181af-3183-4c8b-989d-1180712661c1,ThermalGeneratingUnit
_96cfcf98-f078-4335-92b7-a884e08e0b3a,Combined Cycle Logical Unit (NA Flag should be false),2434035,05PTC-PTA Unit,_b0c790b5-9f9b-4353-aade-4ffed7671a54,ThermalGeneratingUnit
_f58fb3fd-714d-4f8d-8976-2b2634d45e88,Gas Turbine (can only burn gas),2434048,05PTC-U1 Unit,_b0c790b5-9f9b-4353-aade-4ffed7671a54,ThermalGeneratingUnit
_b0d16bc4-97d4-468d-b5c4-580a57926795,Gas Turbine (can only burn gas),2434059,05PTC-U2 Unit,_b0c790b5-9f9b-4353-aade-4ffed7671a54,ThermalGeneratingUnit
_dbf5003f-44ef-40f1-8570-061ab5e123d3,Fossil Fired Steam,2434070,05PTC-U3 Unit,_b0c790b5-9f9b-4353-aade-4ffed7671a54,ThermalGeneratingUnit
_1d5d87fa-aa8c-4f18-ab4b-e25cb89d41bc,Combined Cycle Logical Unit (NA Flag should be false),2434121,05SYD-PQ1 Unit,_5f004476-faf7-4d97-bed5-54d8461e50d8,ThermalGeneratingUnit
_8feaca52-c094-4116-9dfb-fd4bdff78e69,Gas Turbine (can only burn gas),2434134,05SYD-U3 Unit,_5f004476-faf7-4d97-bed5-54d8461e50d8,ThermalGeneratingUnit
_dbc7ca51-52d3-41e7-b34e-0415ada0d8b4,Fossil Fired Steam,2434145,05SYD-U4 Unit,_5f004476-faf7-4d97-bed5-54d8461e50d8,ThermalGeneratingUnit
_fe7dc958-4a91-44c8-b49d-87a9566cdd5d,Combined Cycle Logical Unit (NA Flag should be false),2434196,05SYD-PQ2 Unit,_67b9f723-ef7c-4dc9-b7a4-285c2bfdb432,ThermalGeneratingUnit
_19e54aa0-0f1d-446e-95d5-b98bf55a8828,Gas Turbine (can only burn gas),2434209,05SYD-U5 Unit,_67b9f723-ef7c-4dc9-b7a4-285c2bfdb432,ThermalGeneratingUnit
