ID,Path,Name,NAFlag,InternalId,Parent,ObjectType
_1b4cbd26-ab1d-4bfc-abdb-2abc96ae30a9,Network/Companies/SIN/01CEL/01   AGV/85/01   AGV B2  85    B,01   AGV B2  85    B,true,750758,_f819d955-5555-412c-a6a0-e7e91ef08029,BusbarSection
_5a8b11f5-324c-4386-a0f7-21f989711352,Network/Companies/SIN/01CEL/01   ALR/85/01   ALR B1  85    A,01   ALR B1  85    A,true,751076,_8d2202c3-01ba-498e-ae46-d6ac8fd60051,BusbarSection
_e2960059-7161-48f6-a21f-90d0531cac0b,Network/Companies/SIN/01CEL/01   AMD/6/01   AMD BD     6   a_,01   AMD BD     6   a_,true,751219,_693c043f-b157-4db5-afb1-6540a25387b0,BusbarSection
_44df5a1e-68c7-4f62-b516-d4762433b5e6,Network/Companies/SIN/01CEL/01   AMD/6/01   AMD BD     6   b_,01   AMD BD     6   b_,true,751221,_693c043f-b157-4db5-afb1-6540a25387b0,BusbarSection
_73f2182a-266a-49f0-a12c-f89e21916ec1,Network/Companies/SIN/01CEL/01   AMD/6/01   AMD BD     6   c_,01   AMD BD     6   c_,true,751223,_693c043f-b157-4db5-afb1-6540a25387b0,BusbarSection
_bb10d6ae-c56e-4847-8f47-023b6784f787,Network/Companies/SIN/01CEL/01   AMD/23/01   AMD B1  23    A,01   AMD B1  23    A,true,751236,_1ba2fa8a-2133-4197-b953-0a4da9eb20a1,BusbarSection
_6ab34ac0-3a15-4cc8-b809-7824227cf326,Network/Companies/SIN/01CEL/01   AML/400/01   AML B1  400   A,01   AML B1  400   A,true,757248,_a676292c-0e4c-4c02-9698-80ff2647b87d,BusbarSection
_c7748576-8571-4bd2-b6a7-0b43970e26b3,Network/Companies/SIN/01CEL/01   AML/400/01   AML B2  400   B,01   AML B2  400   B,true,757250,_a676292c-0e4c-4c02-9698-80ff2647b87d,BusbarSection
_2a4f790b-47ba-46d9-a9e0-75ec22269750,Network/Companies/SIN/01CEL/01   ANL/85/01   ANL B1  85    A,01   ANL B1  85    A,true,757308,_8b1557cd-9e8d-4dff-badb-c2235a5bd103,BusbarSection
_d9009020-1cac-4ce1-9a7a-332411c955c7,Network/Companies/SIN/01CEL/01   ANS/85/01   ANS B1  85    A,01   ANS B1  85    A,true,757463,_9296a3f0-c0ec-463b-af1f-be6b20e9992a,BusbarSection
_2a9a5fc4-910b-4161-af51-daafd689e2b1,Network/Companies/SIN/01CEL/01   ANS/85/01   ANS B2  85    B,01   ANS B2  85    B,true,757465,_9296a3f0-c0ec-463b-af1f-be6b20e9992a,BusbarSection
_95621852-2910-4959-9a54-993196e813aa,Network/Companies/SIN/01CEL/01   ANS/85/01   ANS B3  85    C,01   ANS B3  85    C,true,757467,_9296a3f0-c0ec-463b-af1f-be6b20e9992a,BusbarSection
_c269ad6c-0a01-4e2a-85cb-e6d87f379ccf,Network/Companies/SIN/01CEL/01   APA/85/01   APA B1 85    A,01   APA B1 85    A,true,758070,_150fb326-6df0-469b-bfb9-76a7ea9055ed,BusbarSection
_47072ef4-11d0-4463-8480-e5d85d78320a,Network/Companies/SIN/01CEL/01   APA/85/01   APA B2 85    B,01   APA B2 85    B,true,758072,_150fb326-6df0-469b-bfb9-76a7ea9055ed,BusbarSection
_50a1b2cb-5977-4053-a395-9413bf205368,Network/Companies/SIN/01CEL/01   APA/230/01   APA B1 230   1,01   APA B1 230   1,true,758247,_e11644d3-7173-43b1-a847-532fdebcbbad,BusbarSection
_8bdec757-ed92-4f6d-bbca-3e199128f13d,Network/Companies/SIN/01CEL/01   APA/230/01   APA B2 230   2,01   APA B2 230   2,true,758249,_e11644d3-7173-43b1-a847-532fdebcbbad,BusbarSection
_404d129c-960b-4160-9b8b-319aeb1180d5,Network/Companies/SIN/01CEL/01   ARA/85/01   ARA B1 85    A,01   ARA B1 85    A,true,758476,_04f6477a-b2ee-4f1a-bf01-cef28287baa9,BusbarSection
_6617cc9a-30f7-4723-8769-d09f7a4ea7b9,Network/Companies/SIN/01CEL/01   ARA/85/01   ARA B2 85    B,01   ARA B2 85    B,true,758478,_04f6477a-b2ee-4f1a-bf01-cef28287baa9,BusbarSection
_3a0d249f-e3ec-4edf-8818-790da447d26d,Network/Companies/SIN/01CEL/01   ARA/13.8/01   ARA BG 13.8  1,01   ARA BG 13.8  1,true,758576,_33844c00-b9a8-4ed9-9492-f145e7564f1e,BusbarSection
_416ab088-b610-4a04-90b1-48f9b8d0550e,Network/Companies/SIN/01CEL/01   ARA/23/01   ARA BD 23    C,01   ARA BD 23    C,true,758614,_979352a2-fd7b-48c2-8963-26a1be2e8e23,BusbarSection
_dcec1de9-0ff5-4f85-b279-50d004235768,Network/Companies/SIN/01CEL/01   ARA/23/01   ARA BD 23    D,01   ARA BD 23    D,true,758616,_979352a2-fd7b-48c2-8963-26a1be2e8e23,BusbarSection
_b447fd6d-3d84-4ea9-a386-99dd2233f9c1,Network/Companies/SIN/01CEL/01   ARX/230/01   ARX B1  230   A,01   ARX B1  230   A,true,760692,_3855e1b2-7187-43c4-845b-06adac836bc0,BusbarSection
_04630691-6129-4254-a4dd-a75e99a17b36,Network/Companies/SIN/01CEL/01   ASK/230/01   ASK B1  230   A,01   ASK B1  230   A,true,760810,_2f292d3e-312f-47f1-852a-d66c45f33c63,BusbarSection
_93e5697e-8f63-4593-9ff8-e3aaed3d0e74,Network/Companies/SIN/01CEL/01   ATE/85/01   ATE B1 85    A,01   ATE B1 85    A,true,761099,_de4f1de7-42ce-4ac1-b1f7-bcf9b55b7492,BusbarSection
