"CurveData:
ID","CurveData:
xAxisData","CurveData:
y1AxisData","CurveData:
y2AxisData","CurveData:
InternalId","CurveData:
Name","CurveData:
Parent","CurveData:
ObjectType"
_cc99f19f-5060-4ba0-90c7-1c2f72978748,32,0,22.100000000000001,810439,40,_acb55074-5f53-4331-9960-30e31f039e70,CurveData
_8d2b40ca-32bb-4955-8d95-536b18b509a7,0,-44,78,810441,0,_7bde0d63-89fe-457b-aff8-87844fa9d81e,CurveData
_b3be7510-e112-4f37-ae89-f6bdff39d723,20,-39,77,810442,10,_7bde0d63-89fe-457b-aff8-87844fa9d81e,CurveData
_54bbf91e-b367-4863-8df0-1d0e40241579,40,-34,72,810443,20,_7bde0d63-89fe-457b-aff8-87844fa9d81e,CurveData
_855aa718-b542-4e1f-9d4b-a07761ee6ec9,60,-29,64,810444,30,_7bde0d63-89fe-457b-aff8-87844fa9d81e,CurveData
_15703671-8042-4e0a-91d4-8202aee76ee2,80,-19,49,810445,40,_7bde0d63-89fe-457b-aff8-87844fa9d81e,CurveData
_86c6724e-589a-472b-86e7-b5f7b1af8ada,0,-44,78,810447,0,_12bf86e6-3690-4973-bf56-f6e3d2df642c,CurveData
_d230c230-eaaa-4c05-ab0a-5f6ec09beea8,20,-39,77,810448,10,_12bf86e6-3690-4973-bf56-f6e3d2df642c,CurveData
_48cf78bc-17aa-4bdd-a774-5e84af60721e,40,-34,72,810449,20,_12bf86e6-3690-4973-bf56-f6e3d2df642c,CurveData
_c15d5c19-9b25-413d-bb8c-091829256d6b,60,-29,64,810450,30,_12bf86e6-3690-4973-bf56-f6e3d2df642c,CurveData
_9b2c793a-f429-4bd5-841b-eaccaab95c85,80,-19,49,810451,40,_12bf86e6-3690-4973-bf56-f6e3d2df642c,CurveData
_d374277c-5847-4a73-8041-b198709aecb0,0,-7,20,815985,0,_e93f31ce-708d-4b84-aa75-07b695109444,CurveData
_55370a34-a03c-4e67-86aa-cb709983cd4c,8,-7,20,815986,10,_e93f31ce-708d-4b84-aa75-07b695109444,CurveData
_ef8a044f-11e7-4f78-b50c-ffb63e99b5ea,15,-7,20,815987,20,_e93f31ce-708d-4b84-aa75-07b695109444,CurveData
_1e94dc1b-47eb-41f7-a7c5-42f863389c52,24,-7,20,815988,30,_e93f31ce-708d-4b84-aa75-07b695109444,CurveData
_9e789c07-c29c-4bae-840a-6e59c6ed1545,32,-7,20,815989,40,_e93f31ce-708d-4b84-aa75-07b695109444,CurveData
_66a77ecf-138d-4562-8e94-6593ea67a903,0,-7,20,815991,0,_d17a1cb2-6d15-41ab-8567-6cda3eb675af,CurveData
_c3287091-b61e-4ce6-a9c0-c5b6a9edda77,8,-7,20,815992,10,_d17a1cb2-6d15-41ab-8567-6cda3eb675af,CurveData
_14f3401a-43eb-4d3d-9810-ae2f94e9eaee,16,-7,20,815993,20,_d17a1cb2-6d15-41ab-8567-6cda3eb675af,CurveData
_e7facf02-e308-4f63-9e38-0928345b43e8,24,-7,20,815994,30,_d17a1cb2-6d15-41ab-8567-6cda3eb675af,CurveData
