"ReactiveCapabilityCurve:
ID","ReactiveCapabilityCurve:
InternalId","ReactiveCapabilityCurve:
Name","ReactiveCapabilityCurve:
Parent","ReactiveCapabilityCurve:
ObjectType","SynchronousMachine:
Path","SynchronousMachine:
InternalId","SynchronousMachine:
Name","ReactiveCapabilityCurve:
SynchronousMachineHasDefaultReactiveCapabilityCurve:
SynchronousMachine:
ID","SynchronousMachine:
Parent","SynchronousMachine:
ObjectType"
_e6a76be3-87f6-4a7f-ac37-2a08a5d92713,1454361,04PLD-U4,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   PLD/15/UN-04,1453610,UN-04,_bf8696d3-5fef-4e9b-a77e-d1145cc55a8d,_8fd2f50f-1896-48da-910a-de5dc9bb0811,SynchronousMachine
_763b2205-d0d8-4193-8e9b-4fcae2d9a1e7,1455335,04PGD-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,,,,,,
_6751d1dc-e7bf-4ae7-ae3a-47229b0e5ff5,1455341,04PGD-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,,,,,,
_c4dfaa78-1cdb-4098-9992-c1f560ac4ab2,1455549,04PGD-U3,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,,,,,,
_b98afb92-d61b-4c17-86d2-ce8da00c4894,1455555,04PGD-U4,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,,,,,,
_18e81db7-b331-42c2-bd61-c6ccac8913a3,1455733,04OVI-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   OVI/6.9/UN-01,1455701,UN-01,_4a968984-7d9d-400c-90f8-3e18cc4bac91,_de058cb1-2ed4-4dda-bf82-8e78072dee06,SynchronousMachine
_77cf4b61-66ff-4dff-b12d-fde914b24136,1455739,04OVI-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   OVI/6.9/UN-02,1455703,UN-02,_8a0f9611-f68d-44cc-b76d-0ce4d7ab22af,_de058cb1-2ed4-4dda-bf82-8e78072dee06,SynchronousMachine
_70c842a1-7551-450a-b9d6-f77e16064157,1455828,04ORJ-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   ORJ/33/UN-01,1455763,UN-01,_1d13d98d-c83e-4228-b979-f8c0daccf3c1,_99f4fb47-b51a-401e-86c9-6a05a5fdd24f,SynchronousMachine
_6eb6bcef-3179-4768-af4f-b980b8b53f3a,1456290,04NVL-U1,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   NVL/13.8/UN-01,1456146,UN-01,_9848a73a-8fa8-4d8f-b65f-7db01d64eb31,_ed4cdd70-6263-46a7-8ff3-ca4592699ca5,SynchronousMachine
_d3766e6f-3a76-4eac-b988-dd2baa4cb7fb,1456296,04NVL-U2,_2f294030-a227-4dc9-81d9-7b997b999a57,ReactiveCapabilityCurve,Network/Companies/SIN/04NOR/04   NVL/13.8/UN-02,1456148,UN-02,_1d2eb4eb-e058-48c9-8d77-e60cec3822d9,_ed4cdd70-6263-46a7-8ff3-ca4592699ca5,SynchronousMachine
