"ImpedanceVariation:
InternalId","ImpedanceVariation:
ObjectId","ImpedanceVariation:
ID","ImpedanceVariation:
Name","ImpedanceVariation:
Description","ImpedanceVariation:
DeltaIronLossCond","ImpedanceVariation:
DeltaMagnSusc","ImpedanceVariation:
DeltaReactance","ImpedanceVariation:
DeltaResistance","ImpedanceVariation:
TapPosition","ImpedanceVariation:
Parent","ImpedanceVariation:
ObjectType","TapChanger:
InternalId","TapChanger:
Name","ImpedanceVariation:
ImpedanceVariationMemberOfTapChanger:
TapChanger:
ID","TapChanger:
Parent","TapChanger:
ObjectType"
770392,{e76b7bc8-ca0f-4113-a9e8-ad614faa87cd},_e76b7bc8-ca0f-4113-a9e8-ad614faa87cd,ImpedanceVar_20,,0,0,0,0,20,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
770393,{7c24b63e-eabe-4b3b-b8f4-9a4c111d08f8},_7c24b63e-eabe-4b3b-b8f4-9a4c111d08f8,ImpedanceVar_21,,0,0,0,0,21,_ad014201-d9e0-4beb-819e-8e8e229cfb38,ImpedanceVariation,770361,High Tap,_ad014201-d9e0-4beb-819e-8e8e229cfb38,_dceae8ed-d305-4348-815d-d80c3bfb1c77,TapChanger
781217,{db77ec2a-e916-4d56-9813-a315812f4f52},_db77ec2a-e916-4d56-9813-a315812f4f52,ImpedanceVar_6,,0,0,0,0,6,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781218,{2a4a6662-cc8d-4353-aa5b-35004ceac5cf},_2a4a6662-cc8d-4353-aa5b-35004ceac5cf,ImpedanceVar_7,,0,0,0,0,7,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781219,{858c4252-45ed-47e5-a3aa-d5fedd2d99b2},_858c4252-45ed-47e5-a3aa-d5fedd2d99b2,ImpedanceVar_8,,0,0,0,0,8,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781220,{e2500def-6c96-45ad-bb2e-7d93e232abeb},_e2500def-6c96-45ad-bb2e-7d93e232abeb,ImpedanceVar_9,,0,0,0,0,9,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781221,{bde4f282-33d8-4d40-a45d-b7191b2edc3a},_bde4f282-33d8-4d40-a45d-b7191b2edc3a,ImpedanceVar_10,,0,0,0,0,10,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781222,{fa56a210-8ba7-4600-847c-184c354a95ef},_fa56a210-8ba7-4600-847c-184c354a95ef,ImpedanceVar_11,,0,0,0,0,11,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781223,{6d2b4ca1-572c-488f-b21e-ce32630f4c6e},_6d2b4ca1-572c-488f-b21e-ce32630f4c6e,ImpedanceVar_12,,0,0,0,0,12,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
781224,{003933cf-725a-4b52-9a2b-3eb9386914d7},_003933cf-725a-4b52-9a2b-3eb9386914d7,ImpedanceVar_13,,0,0,0,0,13,_6db0532e-b955-491d-82c1-110610d84f3e,ImpedanceVariation,781200,High Tap,_6db0532e-b955-491d-82c1-110610d84f3e,_30dfaead-f2a6-4808-b428-81bb3977871d,TapChanger
